Year,Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,OPP,,,,,,,
1926,Lou Gehrig,7,23,1,8,2,0,0,4,5,4,0.348,0.464,0.435,0.899,0,0,0,0.17,0.087,Cardinals,,,,,,,
1926,Waite Hoyt,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.13,-0.088,Cardinals,,,,,,,
1926,Sad Sam Jones,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cardinals,,,,,,,
1926,Mark Koenig,7,32,2,4,1,0,0,2,0,6,0.125,0.125,0.156,0.281,0,0,4,-0.34,-0.192,Cardinals,,,,,,,
1926,Tony Lazzeri,7,26,2,5,1,0,0,3,1,6,0.192,0.222,0.231,0.453,0,1,1,-0.19,-0.221,Cardinals,,,,,,,
1926,Bob Meusel,7,21,3,5,1,1,0,0,6,1,0.238,0.407,0.381,0.788,0,0,1,-0.13,-0.139,Cardinals,,,,,,,
1926,Ben Paschal,5,4,0,1,0,0,0,1,1,2,0.25,0.4,0.25,0.65,0,0,,0.07,0.008,Cardinals,,,,,,,
1926,Herb Pennock,3,7,1,1,1,0,0,0,0,0,0.143,0.143,0.286,0.429,0,0,0,-0.13,-0.076,Cardinals,,,,,,,
1926,Dutch Ruether,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-0.024,Cardinals,,,,,,,
1926,Babe Ruth,7,20,6,6,0,0,4,5,11,2,0.3,0.548,0.9,1.448,1,1,0,0.37,0.228,Cardinals,,,,,,,
1926,Hank Severeid,7,22,1,6,1,0,0,1,1,2,0.273,0.304,0.318,0.623,0,0,0,-0.36,-0.066,Cardinals,,,,,,,
1926,Bob Shawkey,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,0.018,Cardinals,,,,,,,
1926,Urban Shocker,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.05,-0.013,Cardinals,,,,,,,
1926,Myles Thomas,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cardinals,,,,,,,
1927,Benny Bengough,2,4,1,0,0,0,0,0,1,0,0,0.2,0,0.2,0,0,0,-0.06,-0.019,Pirates,,,,,,,
1927,Pat Collins,2,5,0,3,1,0,0,0,3,0,0.6,0.75,0.8,1.55,0,0,0,0.13,0.013,Pirates,,,,,,,
1927,Earle Combs,4,16,6,5,0,0,0,2,1,2,0.313,0.389,0.313,0.701,0,0,0,0.49,0.049,Pirates,,,,,,,
1927,Joe Dugan,4,15,2,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,0,0,-0.25,-0.060,Pirates,,,,,,,
1927,Cedric Durst,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.000,Pirates,,,,,,,
1927,Lou Gehrig,4,13,2,4,2,2,0,4,3,3,0.308,0.438,0.769,1.207,0,0,0,0.19,0.091,Pirates,,,,,,,
1927,Johnny Grabowski,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.005,Pirates,,,,,,,
1927,Waite Hoyt,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13,-0.044,Pirates,,,,,,,
1927,Mark Koenig,4,18,5,9,2,0,0,2,0,2,0.5,0.5,0.611,1.111,0,0,0,0.4,0.093,Pirates,,,,,,,
1927,Tony Lazzeri,4,15,1,4,1,0,0,2,1,4,0.267,0.313,0.333,0.646,0,0,1,0.01,0.019,Pirates,,,,,,,
1927,Bob Meusel,4,17,1,2,0,0,0,1,1,7,0.118,0.167,0.118,0.284,1,0,1,-0.25,-0.014,Pirates,,,,,,,
1927,Wilcy Moore,2,5,0,1,0,0,0,0,0,3,0.2,0.2,0.2,0.4,0,0,1,-0.2,-0.027,Pirates,,,,,,,
1927,Herb Pennock,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.001,Pirates,,,,,,,
1927,George Pipgras,1,3,0,1,0,0,0,0,1,1,0.333,0.5,0.333,0.833,0,0,0,-0.01,-0.001,Pirates,,,,,,,
1927,Babe Ruth,4,15,4,6,0,0,2,7,2,2,0.4,0.471,0.8,1.271,1,0,0,0.18,0.021,Pirates,,,,,,,
1928,Benny Bengough,4,13,1,3,0,0,0,1,1,1,0.231,0.286,0.231,0.516,0,0,0,-0.07,0.002,Cardinals,,,,,,,
1928,Pat Collins,1,1,0,1,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0.000,Cardinals,,,,,,,
1928,Earle Combs,1,0,0,0,0,0,0,1,0,0,,,,,0,0,,0.02,0.002,Cardinals,,,,,,,
1928,Joe Dugan,3,6,0,1,0,0,0,1,0,0,0.167,0.167,0.167,0.333,0,0,0,0,-0.004,Cardinals,,,,,,,
1928,Leo Durocher,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.01,-0.002,Cardinals,,,,,,,
1928,Cedric Durst,4,8,3,3,0,0,1,2,0,1,0.375,0.375,0.75,1.125,0,0,0,0.13,0.032,Cardinals,,,,,,,
1928,Lou Gehrig,4,11,5,6,1,0,4,9,6,0,0.545,0.706,1.727,2.433,0,0,0,0.99,0.219,Cardinals,,,,,,,
1928,Waite Hoyt,2,7,0,1,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,0,1,-0.12,-0.019,Cardinals,,,,,,,
1928,Mark Koenig,4,19,1,3,0,0,0,0,0,1,0.158,0.158,0.158,0.316,0,0,2,-0.25,-0.043,Cardinals,,,,,,,
1928,Tony Lazzeri,4,12,2,3,1,0,0,0,1,0,0.25,0.308,0.333,0.641,2,0,2,0.05,-0.016,Cardinals,,,,,,,
1928,Bob Meusel,4,15,5,3,1,0,1,3,2,5,0.2,0.294,0.467,0.761,2,0,0,0.25,0.094,Cardinals,,,,,,,
1928,Ben Paschal,3,10,0,2,0,0,0,1,1,0,0.2,0.273,0.2,0.473,0,0,0,-0.1,-0.018,Cardinals,,,,,,,
1928,George Pipgras,1,2,0,0,0,0,0,1,0,1,0,0.333,0,0.333,0,0,0,0.02,0.005,Cardinals,,,,,,,
1928,Gene Robertson,3,8,1,1,0,0,0,2,1,0,0.125,0.222,0.125,0.347,0,0,1,0.1,0.015,Cardinals,,,,,,,
1928,Babe Ruth,4,16,9,10,3,0,3,4,1,2,0.625,0.647,1.375,2.022,0,0,0,0.42,0.073,Cardinals,,,,,,,
1928,Tom Zachary,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06,-0.016,Cardinals,,,,,,,
